month,pfaf_id,Rainf_tavg,Qair_f_tavg,Qs_tavg,Evap_tavg,Tair_f_tavg,SoilMoist_inst_lvl_0,SoilMoist_inst_lvl_1,SoilMoist_inst_lvl_2,SoilMoist_inst_lvl_3,SoilTemp_inst_lvl_0,SoilTemp_inst_lvl_1,SoilTemp_inst_lvl_2,SoilTemp_inst_lvl_3,Streamflow_tavg
1,62455,6.133220195770264,17.48598861694336,0.05472489818930626,3.773033857345581,25.669876098632812,0.3740655481815338,0.3742954432964325,0.37483251094818115,0.38045454025268555,26.379451751708984,26.57546615600586,26.602054595947266,26.883203506469727,3624.054931640625
2,62455,6.373854160308838,17.630704879760742,0.06113692373037338,3.6710238456726074,25.700889587402344,0.37902072072029114,0.38010337948799133,0.3838181495666504,0.3974909484386444,26.250999450683594,26.485231399536133,26.3326358795166,26.434152603149414,5044.7646484375
3,62455,6.405575275421143,17.755327224731445,0.07259161025285721,3.6238038539886475,25.728330612182617,0.3809981644153595,0.3827264606952667,0.3887281119823456,0.4078149199485779,26.14360237121582,26.510374069213867,26.28295135498047,26.28565216064453,6933.09716796875
4,62455,5.745985507965088,17.761390686035156,0.07258912175893784,3.7741613388061523,25.746429443359375,0.37818169593811035,0.38069647550582886,0.38861095905303955,0.41043204069137573,26.100860595703125,26.544118881225586,26.265748977661133,26.235584259033203,7877.98779296875
5,62455,3.396836996078491,16.658864974975586,0.043194059282541275,3.633603096008301,25.420108795166016,0.3568854331970215,0.3653613328933716,0.3764174282550812,0.398060142993927,25.6280460357666,26.235294342041016,26.058032989501953,26.15050506591797,6874.5087890625
12,62455,5.641477584838867,17.30445098876953,0.04770898446440697,3.8597800731658936,26.124927520751953,0.3625948429107666,0.3622615933418274,0.36022499203681946,0.3615594804286957,26.809663772583008,27.156118392944336,27.337522506713867,27.805225372314453,5075.80810546875
